Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
5/14/2026,5/14/2026,5/14/2026,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,11,₹1819.94,"(₹20,019.34)"
5/12/2026,5/12/2026,5/12/2026,SBIN,"SBIN
ISIN: INE062A01020",Sell,214,₹438.51,"₹93,841.14"
5/8/2026,5/8/2026,5/8/2026,ITC,"ITC
ISIN: INE154A01025",Sell,151,₹3635.62,"₹548,978.62"
5/7/2026,5/7/2026,5/7/2026,INFY,"INFY
ISIN: INE009A01021",Buy,35,₹2226.86,"(₹77,940.10)"
5/6/2026,5/6/2026,5/6/2026,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,33,₹2326.30,"(₹76,767.90)"
4/28/2026,4/28/2026,4/28/2026,ITC,"ITC
ISIN: INE154A01025",Sell,209,₹2525.85,"₹527,902.65"
4/27/2026,4/27/2026,4/27/2026,TCS,"TCS
ISIN: INE467B01029",Buy,93,₹2400.75,"(₹223,269.75)"
4/20/2026,4/20/2026,4/20/2026,ICICIBANK,Cash Div: R/D 2026-01-01 P/D 2026-01-05 - 53 shares at 14.96,CDIV,,,₹792.88
4/16/2026,4/16/2026,4/16/2026,SBIN,"SBIN
ISIN: INE062A01020",Buy,62,₹859.61,"(₹53,295.82)"
4/14/2026,4/14/2026,4/14/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,14,₹1949.95,"(₹27,299.30)"
3/26/2026,3/26/2026,3/26/2026,ITC,"ITC
ISIN: INE154A01025",Buy,88,₹1063.73,"(₹93,608.24)"
3/17/2026,3/17/2026,3/17/2026,ITC,"ITC
ISIN: INE154A01025",Buy,69,₹2368.72,"(₹163,441.68)"
3/16/2026,3/16/2026,3/16/2026,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,21,₹3417.41,"(₹71,765.61)"
3/11/2026,3/11/2026,3/11/2026,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Sell,9,₹2008.21,"₹18,073.89"
3/10/2026,3/10/2026,3/10/2026,RELIANCE,Cash Div: R/D 2026-01-01 P/D 2026-01-05 - 272 shares at 35.48,CDIV,,,"₹9,650.56"
3/9/2026,3/9/2026,3/9/2026,TCS,"TCS
ISIN: INE467B01029",Sell,18,₹2731.58,"₹49,168.44"
2/25/2026,2/25/2026,2/25/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,14,₹1230.00,"(₹17,220.00)"
2/19/2026,2/19/2026,2/19/2026,ITC,"ITC
ISIN: INE154A01025",Buy,55,₹2553.14,"(₹140,422.70)"
2/17/2026,2/17/2026,2/17/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,34,₹1006.82,"(₹34,231.88)"
2/16/2026,2/16/2026,2/16/2026,INFY,"INFY
ISIN: INE009A01021",Buy,31,₹2575.19,"(₹79,830.89)"
2/11/2026,2/11/2026,2/11/2026,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,65,₹2109.76,"(₹137,134.40)"
2/6/2026,2/6/2026,2/6/2026,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,39,₹3168.38,"(₹123,566.82)"
1/30/2026,1/30/2026,1/30/2026,INFY,"INFY
ISIN: INE009A01021",Buy,22,₹2063.41,"(₹45,395.02)"
1/26/2026,1/26/2026,1/26/2026,SBIN,"SBIN
ISIN: INE062A01020",Buy,27,₹2452.58,"(₹66,219.66)"
1/21/2026,1/21/2026,1/21/2026,TCS,"TCS
ISIN: INE467B01029",Buy,41,₹2498.25,"(₹102,428.25)"
1/13/2026,1/13/2026,1/13/2026,INFY,"INFY
ISIN: INE009A01021",Buy,97,₹1478.86,"(₹143,449.42)"
1/12/2026,1/12/2026,1/12/2026,HDFCBANK,Cash Div: R/D 2026-01-01 P/D 2026-01-05 - 55 shares at 24.25,CDIV,,,"₹1,333.75"
1/12/2026,1/12/2026,1/12/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,26,₹1870.66,"(₹48,637.16)"
12/26/2025,12/26/2025,12/26/2025,TCS,"TCS
ISIN: INE467B01029",Buy,31,₹1258.07,"(₹39,000.17)"
12/25/2025,12/25/2025,12/25/2025,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Sell,187,₹1301.94,"₹243,462.78"
12/10/2025,12/10/2025,12/10/2025,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,91,₹1627.69,"(₹148,119.79)"
12/9/2025,12/9/2025,12/9/2025,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,43,₹3804.66,"(₹163,600.38)"
12/8/2025,12/8/2025,12/8/2025,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,10,₹778.48,"(₹7,784.80)"
12/4/2025,12/4/2025,12/4/2025,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,87,₹2714.17,"(₹236,132.79)"
11/24/2025,11/24/2025,11/24/2025,RELIANCE,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 107 shares at 37.53,CDIV,,,"₹4,015.71"
11/21/2025,11/21/2025,11/21/2025,TCS,"TCS
ISIN: INE467B01029",Buy,85,₹1636.88,"(₹139,134.80)"
11/19/2025,11/19/2025,11/19/2025,BHARTIARTL,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 205 shares at 38.84,CDIV,,,"₹7,962.20"
11/12/2025,11/12/2025,11/12/2025,INFY,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 83 shares at 26.15,CDIV,,,"₹2,170.45"
11/10/2025,11/10/2025,11/10/2025,TCS,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 193 shares at 40.23,CDIV,,,"₹7,764.39"
11/7/2025,11/7/2025,11/7/2025,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Buy,53,₹2048.09,"(₹108,548.77)"
11/6/2025,11/6/2025,11/6/2025,TCS,"TCS
ISIN: INE467B01029",Buy,66,₹529.91,"(₹34,974.06)"
10/15/2025,10/15/2025,10/15/2025,ITC,"ITC
ISIN: INE154A01025",Buy,50,₹1181.33,"(₹59,066.50)"
10/6/2025,10/6/2025,10/6/2025,ITC,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 140 shares at 30.43,CDIV,,,"₹4,260.20"
9/23/2025,9/23/2025,9/23/2025,ITC,"ITC
ISIN: INE154A01025",Buy,62,₹401.33,"(₹24,882.46)"
9/15/2025,9/15/2025,9/15/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,76,₹1882.19,"(₹143,046.44)"
9/11/2025,9/11/2025,9/11/2025,TCS,"TCS
ISIN: INE467B01029",Buy,97,₹1877.49,"(₹182,116.53)"
8/29/2025,8/29/2025,8/29/2025,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,71,₹2602.09,"(₹184,748.39)"
8/21/2025,8/21/2025,8/21/2025,INFY,"INFY
ISIN: INE009A01021",Buy,34,₹2514.46,"(₹85,491.64)"
8/14/2025,8/14/2025,8/14/2025,HDFCBANK,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 2 shares at 28.46,CDIV,,,₹56.92
8/14/2025,8/14/2025,8/14/2025,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Sell,40,₹1289.83,"₹51,593.20"
7/30/2025,7/30/2025,7/30/2025,SBIN,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 168 shares at 33.61,CDIV,,,"₹5,646.48"
7/30/2025,7/30/2025,7/30/2025,TCS,"TCS
ISIN: INE467B01029",Sell,68,₹2548.27,"₹173,282.36"
7/29/2025,7/29/2025,7/29/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,92,₹1906.60,"(₹175,407.20)"
7/17/2025,7/17/2025,7/17/2025,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Buy,34,₹3942.84,"(₹134,056.56)"
7/8/2025,7/8/2025,7/8/2025,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Sell,47,₹3560.01,"₹167,320.47"
7/4/2025,7/4/2025,7/4/2025,ICICIBANK,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 109 shares at 23.52,CDIV,,,"₹2,563.68"
7/1/2025,7/1/2025,7/1/2025,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,38,₹904.67,"(₹34,377.46)"
6/26/2025,6/26/2025,6/26/2025,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Sell,22,₹853.72,"₹18,781.84"
6/18/2025,6/18/2025,6/18/2025,TCS,"TCS
ISIN: INE467B01029",Buy,98,₹1407.46,"(₹137,931.08)"
6/16/2025,6/16/2025,6/16/2025,INFY,"INFY
ISIN: INE009A01021",Buy,48,₹1812.50,"(₹87,000.00)"
6/13/2025,6/13/2025,6/13/2025,SBIN,"SBIN
ISIN: INE062A01020",Sell,112,₹2875.19,"₹322,021.28"
6/11/2025,6/11/2025,6/11/2025,INFY,"INFY
ISIN: INE009A01021",Sell,38,₹3072.82,"₹116,767.16"
6/6/2025,6/6/2025,6/6/2025,SBIN,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 188 shares at 10.7,CDIV,,,"₹2,011.60"
6/4/2025,6/4/2025,6/4/2025,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,59,₹3099.49,"(₹182,869.91)"
5/28/2025,5/28/2025,5/28/2025,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,33,₹1093.15,"(₹36,073.95)"
5/12/2025,5/12/2025,5/12/2025,RELIANCE,"RELIANCE
ISIN: INE002A01018",Sell,31,₹3643.62,"₹112,952.22"
5/5/2025,5/5/2025,5/5/2025,ICICIBANK,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 76 shares at 35.65,CDIV,,,"₹2,709.40"
5/1/2025,5/1/2025,5/1/2025,ITC,"ITC
ISIN: INE154A01025",Buy,78,₹1556.60,"(₹121,414.80)"
4/30/2025,4/30/2025,4/30/2025,INFY,"INFY
ISIN: INE009A01021",Sell,57,₹543.87,"₹31,000.59"
4/29/2025,4/29/2025,4/29/2025,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,36,₹2811.25,"(₹101,205.00)"
4/21/2025,4/21/2025,4/21/2025,INFY,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 96 shares at 49.85,CDIV,,,"₹4,785.60"
4/15/2025,4/15/2025,4/15/2025,RELIANCE,"RELIANCE
ISIN: INE002A01018",Sell,28,₹2949.41,"₹82,583.48"
4/14/2025,4/14/2025,4/14/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,26,₹1621.57,"(₹42,160.82)"
4/11/2025,4/11/2025,4/11/2025,RELIANCE,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 71 shares at 38.58,CDIV,,,"₹2,739.18"
4/9/2025,4/9/2025,4/9/2025,SBIN,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 162 shares at 9.56,CDIV,,,"₹1,548.72"
4/9/2025,4/9/2025,4/9/2025,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Buy,76,₹1655.14,"(₹125,790.64)"
3/28/2025,3/28/2025,3/28/2025,INFY,"INFY
ISIN: INE009A01021",Buy,92,₹3583.29,"(₹329,662.68)"
3/26/2025,3/26/2025,3/26/2025,INFY,"INFY
ISIN: INE009A01021",Sell,85,₹2690.45,"₹228,688.25"
3/24/2025,3/24/2025,3/24/2025,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Sell,12,₹2467.69,"₹29,612.28"
3/5/2025,3/5/2025,3/5/2025,INFY,Cash Div: R/D 2025-01-01 P/D 2025-01-05 - 89 shares at 38.3,CDIV,,,"₹3,408.70"
3/5/2025,3/5/2025,3/5/2025,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,20,₹526.78,"(₹10,535.60)"
2/28/2025,2/28/2025,2/28/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,48,₹2220.10,"(₹106,564.80)"
2/27/2025,2/27/2025,2/27/2025,INFY,"INFY
ISIN: INE009A01021",Buy,89,₹1721.60,"(₹153,222.40)"
2/18/2025,2/18/2025,2/18/2025,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,71,₹3772.52,"(₹267,848.92)"
2/11/2025,2/11/2025,2/11/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,99,₹3967.80,"(₹392,812.20)"
1/30/2025,1/30/2025,1/30/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,15,₹2166.28,"(₹32,494.20)"
1/23/2025,1/23/2025,1/23/2025,SBIN,"SBIN
ISIN: INE062A01020",Sell,80,₹1745.03,"₹139,602.40"
1/21/2025,1/21/2025,1/21/2025,SBIN,"SBIN
ISIN: INE062A01020",Buy,80,₹1244.21,"(₹99,536.80)"
1/15/2025,1/15/2025,1/15/2025,BHARTIARTL,"BHARTIARTL
ISIN: INE397D01024",Buy,98,₹1217.28,"(₹119,293.44)"
1/13/2025,1/13/2025,1/13/2025,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Buy,67,₹2841.53,"(₹190,382.51)"
